"eui64,""property_type"",""property_size"",""property_age"",""property_ownership"",""occupants"",""occupant_type"",""space_heating"",""water_heating"",""stove_heating"",""grill_heating"",""oven_heating"",""photo_voltaic"",""fridge"",""freezer"",""combi_fridge_freezer"",""oven"",""grill"",""hob"",""microwave"",""kettle"",""toaster"",""dishwasher"",""washing_machine"",""tumble_dryer"",""iron"",""tv"",""dvd_or_bluray"",""digital_tv_box"",""games_console"",""computer"",""tablet"",""electric_shower"",""ev_charger"",""swimming_pool"",""sauna"",""month"",""year"""
"7484375650478223,""PT.02"",""PS.03"",""PA.02"",""OWN.01"",""OCC.02"",""OT.02"",""SH.01"",""WH.01"",""STH.02"","""",""OH.02"","""",""2"",""1"","""",""1"","""",""1"","""","""","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""10"",""2016"""
"7484375650478223,""PT.02"",""PS.03"",""PA.02"",""OWN.01"",""OCC.02"",""OT.02"",""SH.01"",""WH.01"",""STH.02"","""",""OH.02"","""",""2"",""1"","""",""1"","""",""1"","""","""","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""11"",""2016"""
"7484375650478223,""PT.02"",""PS.03"",""PA.02"",""OWN.01"",""OCC.02"",""OT.02"",""SH.01"",""WH.01"",""STH.02"","""",""OH.02"","""",""2"",""1"","""",""1"","""",""1"","""","""","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""12"",""2016"""
"7484375650478244,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""3"",""0"",""0"",""0"",""0"",""1"",""2017"""
"7484375650478244,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""3"",""0"",""0"",""0"",""0"",""2"",""2017"""
"7484375650478244,""PT.02"",""PS.04"",""PA.02"",""OWN.01"",""OCC.05"",""OT.04"",""SH.01"",""WH.01"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""3"",""0"",""0"",""0"",""0"",""3"",""2017"""
"9574384526952502071,""PT.02"",""PS.04"",""PA.01"",""OWN.01"",""OCC.02"",""OT.03"",""SH.07"",""WH.05"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""10"",""2017"""
"9574384526952502071,""PT.02"",""PS.04"",""PA.01"",""OWN.01"",""OCC.02"",""OT.03"",""SH.07"",""WH.05"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""11"",""2017"""
"9574384526952502071,""PT.02"",""PS.04"",""PA.01"",""OWN.01"",""OCC.02"",""OT.03"",""SH.07"",""WH.05"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""0"",""0"",""0"",""0"",""9"",""2017"""
"9574384526952502071,""PT.02"",""PS.04"",""PA.01"",""OWN.01"",""OCC.02"",""OT.03"",""SH.07"",""WH.05"",""STH.02"",""GH.02"",""OH.02"",""SOL.02"",""1"",""0"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""0"",""1"",""0"",""0"",""8"",""2017"""
