,household_id,month,electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
0,7,2,156.38299999999998,34.0861,0.0,0.0,15.5271,3.6729,13.4794,61.8323,79.1085,0,3.6777,367.767,PT.02,PS.04,PA.01,OWN.02,OCC.05,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
1,124,7,33.4648,21.8319,0.0,0.0,30.3656,11.7829,17.5335,79.2398,0.0,0,24.9505,219.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,128,2,41.4417,15.4335,0.0,0.0,6.2355,5.83,26.0377,38.8743,0.0,0,1.3519999999999999,135.205,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
3,139,7,33.1051,18.145,0.0,0.0,16.344,7.1064,11.9038,49.5253,0.0,0,12.6676,148.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,143,2,6.1622,21.5591,4.9928,0.0,4.5355,5.5,10.888,19.1187,0.0,0,0.8742,73.6305,PT.06,PS.02,PA.02,OWN.01,OCC.01,OT.02,SH.07,WH.05,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
5,155,2,14.4333,0.0,17.6933,0.0,3.1373,3.6766,24.3315,31.9683,0.0,0,6.5125,101.75299999999999,PT.06,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.07,WH.05,STH.01,GH.01,OH.01,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
6,170,7,106.853,38.3852,0.0,0.0,39.2951,15.3035,16.4376,46.0773,0.0,0,28.078000000000003,290.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,178,2,23.2212,0.0,0.0,0.0,11.5442,2.2773,11.0382,14.7668,0.0,0,4.0283,66.8762,PT.02,PS.03,PA.01,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
8,200,2,13.2341,0.0,0.0,0.0,10.5295,22.2894,24.8654,37.5816,0.0,0,2.9551,111.455,PT.02,PS.04,PA.04,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,201,2,25.963,0.0,0.0,0.0,30.1745,12.722999999999999,21.0262,25.5828,0.0,0,16.8066,132.276,PT.06,PS.01,PA.02,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
10,818,2,19.0562,0.0,0.0,0.0,16.395,3.7956,17.2919,18.3003,0.0,0,8.56,83.399,PT.01,PS.04,PA.01,OWN.01,OCC.02,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
11,848,7,62.1008,39.4049,0.0,0.0,50.5579,41.7339,25.2259,57.9213,0.0,0,38.3793,315.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1073,2,79.7831,0.0,0.0,0.0,58.9439,8.9724,64.2245,63.982,0.0,0,23.6048,299.51099999999997,PT.02,PS.04,PA.03,OWN.01,OCC.03,OT.03,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13,1082,2,35.2054,20.3636,0.0,0.0,13.797,11.4287,43.7366,61.7168,0.0,0,3.1332,189.38099999999997,PT.05,PS.04,PA.03,OWN.01,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
14,1667,2,69.3377,23.9438,0.0,0.0,42.795,27.0756,71.9584,99.6917,0.0,0,15.8801,350.68199999999996,PT.02,PS.03,PA.02,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
15,1741,7,177.72400000000002,56.1184,0.0,0.0,56.9549,22.5013,22.1233,67.2898,0.0,0,39.8616,442.57300000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1789,2,34.6192,23.5868,0.0,0.0,47.358999999999995,11.2107,35.2328,40.8583,0.0,0,24.2014,217.06799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1796,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,PT.05,PS.04,PA.04,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.03,GH.02,OH.02,SOL.01,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1824,7,82.6085,44.1179,0.0,0.0,41.1692,9.0618,19.5532,47.583,0.0,0,30.5614,274.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1833,7,9.4288,9.9678,0.0,0.0,8.2215,5.2111,3.917,11.8379,0.0,0,6.1091,54.693000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1850,7,30.1014,76.3114,0.0,0.0,41.2713,32.1122,19.429000000000002,47.7522,0.0,0,30.5524,277.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1862,2,19.4041,14.1748,0.0,0.0,10.0803,14.7854,23.4346,44.8249,0.0,0,3.8608,130.565,PT.04,PS.03,PA.03,OWN.01,OCC.03,OT.04,SH.01,WH.01,STH.01,GH.03,OH.02,SOL.02,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
22,1867,2,68.6691,14.9,0.0,0.0,7.5602,11.1627,25.859,66.8537,0.0,0,1.9697,196.975,PT.04,PS.04,PA.03,OWN.01,OCC.04,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
23,1875,7,124.238,41.9119,0.0,0.0,20.4874,4.25,11.741,88.2393,0.0,0,12.9563,303.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1888,2,47.95399999999999,37.6451,0.0,0.0,25.5751,30.5267,93.8005,139.753,0.0,0,3.7904,379.045,PT.02,PS.04,PA.02,OWN.01,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
25,1892,7,6.7941,7.9431,0.0,0.0,10.1437,4.3287,5.4866,25.4375,0.0,0,8.4492,68.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1917,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,PT.04,PS.03,PA.02,OWN.02,OCC.02,OT.04,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27,1940,2,33.9174,49.5185,0.0,0.0,24.1804,6.6889,45.2417,72.5305,0.0,0,12.0415,244.11900000000003,PT.04,PS.02,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0
