electricity_electric_vehicle,month,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
57.0868,7th,PT.02,4.0,PA.01,OWN.01,2.0,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
1084.03,1th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
727.008,2th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
552.132,3th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
287.441,4th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
329.927,5th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
199.852,6th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
118.121,8th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
374.528,9th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
589.196,10th,PT.02,4.0,PA.01,OWN.01,5.0,OT.04,other,electric,electric,electric,other,SOL.01,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1,0.0,0.0
