electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,month,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
19.5183,9.4253,0.0,0.0,24.8394,10.4113,48.1267,18.508,0.0,0.0,18.4699,149.299,10th,PT.02,3,PA.02,OWN.01,2,OT.02,other,other,electric,electric,electric,SOL.02,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19.5183,9.4253,0.0,0.0,24.8394,10.4113,48.1267,18.508,0.0,0.0,18.4699,149.299,11th,PT.02,3,PA.02,OWN.01,2,OT.02,other,other,electric,electric,electric,SOL.02,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6.9319,2.8658,0.0,0.0,2.3426,5.665,7.6822,2.9516,0.0,0.0,0.7929,29.232,12th,PT.02,3,PA.02,OWN.01,2,OT.02,other,other,electric,electric,electric,SOL.02,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1483.13,23.5174,0.0,0.0,522.427,0.0,973.821,522.72,0.0,0.0,128.56799999999998,3654.19,1th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
1164.26,22.3889,0.0,0.0,211.18400000000003,6.1216,454.11300000000006,522.72,0.0,0.0,24.0493,2404.83,2th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
292.514,10.3488,0.0,0.0,36.5048,68.2016,27.303,391.74300000000005,0.0,0.0,9.4636,836.079,3th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
68.9108,8.6452,0.0,0.0,37.818000000000005,5.565,79.0504,149.393,0.0,0.0,8.6701,358.05300000000005,10th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
68.9108,8.6452,0.0,0.0,37.818000000000005,5.565,79.0504,149.393,0.0,0.0,8.6701,358.05300000000005,11th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
660.775,17.5309,0.0,0.0,253.84400000000002,6.1216,536.7869999999999,522.72,0.0,0.0,57.4704,2055.25,12th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0
98.9188,50.2491,0.0,0.0,29.9503,27.9756,134.245,200.104,0.0,0.0,5.4692,546.913,1th,PT.02,4,PA.01,OWN.01,2,OT.03,other,other,electric,electric,electric,SOL.02,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
