electricity_always_on,electricity_refrigeration,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,stove_heating,grill_heating,oven_heating,fridge,freezer,combi_fridge_freezer,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
156.38299999999995,34.0861,15.5271,3.6729,13.4794,61.8323,3.6777,367.767,PT.02,4,PA.01,OWN.02,5,OT.04,other,electric,electric,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2th
305.999,24.4839,30.8366,3.339,25.2401,183.87099999999998,8.0342,803.416,PT.02,4,PA.01,OWN.02,5,OT.04,other,electric,electric,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,3th
265.14099999999996,38.402,19.612000000000002,3.2054,11.1477,82.2133,5.3226,532.261,PT.02,4,PA.01,OWN.02,5,OT.04,other,electric,electric,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,4th
176.618,30.6476,32.4064,3.0719,14.4158,304.143,9.1774,917.735,PT.02,4,PA.01,OWN.02,5,OT.04,other,electric,electric,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,5th
195.99400000000003,25.0019,22.0219,2.9383,6.8277,181.033,6.52,651.998,PT.02,4,PA.01,OWN.02,5,OT.04,other,electric,electric,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,6th
161.871,27.8065,10.9666,2.8382,3.5201,54.9963,3.3615,336.147,PT.02,4,PA.01,OWN.02,5,OT.04,other,electric,electric,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,7th
166.90900000000005,25.4898,16.2273,2.9383,7.5467,116.977,4.8044,480.439,PT.02,4,PA.01,OWN.02,5,OT.04,other,electric,electric,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,8th
127.915,32.2062,14.0123,3.0719,8.3111,94.3484,3.9682,396.82300000000004,PT.02,4,PA.01,OWN.02,5,OT.04,other,electric,electric,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,9th
41.4417,15.4335,6.2355,5.83,26.0377,38.8743,1.3519999999999999,135.205,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2th
48.8007,19.467,5.5448,5.3,22.8959,42.4727,1.4594,145.941,PT.04,4,PA.03,OWN.01,5,OT.04,electric,electric,electric,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,3th
