electricity_space_heating,electricity_water_heating,electricity_electric_vehicle,electricity_pool_or_sauna
month_5th,month_12th,digital_tv_box,occupants
month_8th,month_4th,property_type_PT.02,month_1th
month_1th,photo_voltaic_SOL.02,water_heating_other,digital_tv_box
month_3th,freezer,freezer,electric_shower
month_2th,month_1th,occupants,freezer
month_9th,month_3th,occupant_type_OT.03,property_age_PA.03
tablet,month_9th,month_6th,games_console
digital_tv_box,month_2th,month_5th,kettle
month_12th,month_7th,month_9th,property_type_PT.05
month_11th,month_5th,games_console,water_heating_other
grill,month_11th,property_size,sauna
property_size,property_age_PA.02,fridge,computer
freezer,washing_machine,month_4th,property_age_PA.04
occupant_type_OT.04,month_6th,month_8th,dishwasher
tv,occupant_type_OT.03,month_12th,property_ownership_OWN.02
occupant_type_OT.02,occupant_type_OT.02,swimming_pool,property_age_PA.02
sauna,occupant_type_OT.04,combi_fridge_freezer,photo_voltaic_SOL.02
fridge,property_type_PT.02,property_age_PA.02,property_type_PT.02
toaster,property_age_PA.03,month_7th,tv
property_type_PT.02,ev_charger,kettle,property_size
oven_heating_other,oven_heating_other,computer,stove_heating_other
grill_heating_other,occupants,grill_heating_other,grill_heating_other
dvd_or_blueray,month_8th,grill,washing_machine
water_heating_other,electric_shower,month_1th,grill
property_type_PT.03,iron,oven_heating_other,dvd_or_blueray
property_age_PA.04,kettle,occupant_type_OT.04,combi_fridge_freezer
washing_machine,property_size,tablet,tumble_dryer
property_ownership_OWN.02,grill,photo_voltaic_SOL.02,toaster
dishwasher,occupant_type_OT.06,month_3th,occupant_type_OT.04
occupant_type_OT.05,computer,sauna,fridge
