electricity_space_heating,electricity_water_heating,electricity_electric_vehicle,electricity_pool_or_sauna
month_8th,dishwasher,property_size,iron
month_2th,fridge,digital_tv_box,month_1th
month_12th,month_1th,occupant_type_OT.04,property_type_PT.03
month_1th,month_6th,fridge,occupants
freezer,month_11th,month_3th,property_size
property_ownership_OWN.02,month_4th,month_4th,property_age_PA.03
month_9th,month_9th,month_9th,swimming_pool
month_5th,month_5th,swimming_pool,occupant_type_OT.04
month_3th,photo_voltaic_SOL.02,tablet,kettle
microwave,ev_charger,combi_fridge_freezer,dishwasher
iron,property_age_PA.02,month_5th,water_heating_other
month_4th,month_2th,property_age_PA.03,grill
property_size,microwave,sauna,tablet
property_type_PT.06,month_3th,computer,microwave
fridge,month_8th,month_8th,tumble_dryer
month_11th,tumble_dryer,month_12th,fridge
oven_heating_other,combi_fridge_freezer,washing_machine,combi_fridge_freezer
tablet,dvd_or_blueray,microwave,sauna
occupant_type_OT.03,kettle,property_type_PT.02,toaster
property_age_PA.04,occupant_type_OT.02,month_11th,occupant_type_OT.03
stove_heating_other,month_7th,occupant_type_OT.03,dvd_or_blueray
property_age_PA.02,tablet,month_1th,property_type_PT.06
digital_tv_box,property_age_PA.03,oven_heating_other,property_age_PA.02
washing_machine,occupants,occupants,digital_tv_box
tv,property_ownership_OWN.02,month_2th,occupant_type_OT.06
grill_heating_other,grill,freezer,photo_voltaic_SOL.02
computer,grill_heating_other,tv,games_console
property_type_PT.02,computer,dvd_or_blueray,computer
dishwasher,stove_heating_other,water_heating_other,occupant_type_OT.05
property_type_PT.05,property_size,grill_heating_other,property_type_PT.04
