electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total
month_6th,month_7th,month_2th,month_5th,dishwasher,tv,occupants,ev_charger,occupant_type_OT.05,occupants
month_7th,month_3th,property_age_PA.03,property_type_PT.02,occupant_type_OT.04,month_6th,digital_tv_box,washing_machine,freezer,month_2th
computer,month_2th,property_ownership_OWN.02,tumble_dryer,tumble_dryer,electric_shower,month_6th,occupants,tumble_dryer,property_ownership_OWN.02
tablet,fridge,property_type_PT.06,electric_shower,month_6th,occupant_type_OT.05,month_5th,fridge,month_5th,dishwasher
occupant_type_OT.05,dishwasher,games_console,property_size,month_4th,month_2th,property_ownership_OWN.02,combi_fridge_freezer,electric_shower,computer
property_type_PT.05,month_4th,month_3th,freezer,month_8th,dishwasher,dishwasher,dishwasher,property_age_PA.03,occupant_type_OT.05
property_ownership_OWN.02,electric_shower,dvd_or_blueray,games_console,month_5th,tumble_dryer,occupant_type_OT.05,property_ownership_OWN.02,property_size,month_6th
occupant_type_OT.04,freezer,toaster,stove_heating_other,occupants,games_console,fridge,tv,games_console,month_5th
property_age_PA.02,month_6th,occupant_type_OT.04,combi_fridge_freezer,electric_shower,month_3th,computer,property_type_PT.02,stove_heating_other,fridge
combi_fridge_freezer,dvd_or_blueray,month_4th,oven_heating_other,property_type_PT.04,month_7th,tumble_dryer,digital_tv_box,oven_heating_other,combi_fridge_freezer
occupants,oven_heating_other,occupant_type_OT.03,property_type_PT.04,month_7th,month_5th,combi_fridge_freezer,property_size,month_6th,tumble_dryer
tumble_dryer,computer,property_size,computer,property_age_PA.04,occupants,ev_charger,occupant_type_OT.04,combi_fridge_freezer,property_age_PA.04
fridge,occupant_type_OT.05,stove_heating_other,tv,month_2th,computer,month_2th,month_6th,occupant_type_OT.04,property_type_PT.02
dvd_or_blueray,property_type_PT.05,month_9th,tablet,combi_fridge_freezer,month_8th,tablet,tablet,month_2th,property_type_PT.04
kettle,occupant_type_OT.04,oven_heating_other,occupant_type_OT.05,month_3th,freezer,month_9th,property_type_PT.04,property_type_PT.04,property_type_PT.05
month_8th,property_type_PT.02,grill_heating_other,occupants,ev_charger,month_4th,month_4th,freezer,property_age_PA.02,month_9th
month_9th,grill_heating_other,electric_shower,month_9th,washing_machine,occupant_type_OT.04,tv,month_5th,property_type_PT.02,tv
property_age_PA.03,occupants,microwave,property_ownership_OWN.02,property_age_PA.02,digital_tv_box,occupant_type_OT.04,property_age_PA.03,grill_heating_other,month_3th
ev_charger,property_age_PA.03,month_5th,month_3th,microwave,tablet,property_size,property_age_PA.02,property_age_PA.04,games_console
tv,month_5th,tumble_dryer,toaster,property_type_PT.02,occupant_type_OT.03,oven_heating_other,oven_heating_other,computer,occupant_type_OT.04
property_age_PA.04,iron,kettle,iron,property_size,property_type_PT.04,toaster,grill_heating_other,tv,freezer
games_console,month_8th,occupants,property_age_PA.02,computer,property_type_PT.02,property_age_PA.02,month_7th,ev_charger,toaster
month_3th,property_age_PA.02,month_6th,property_type_PT.06,oven_heating_other,property_age_PA.02,month_8th,computer,kettle,property_age_PA.02
digital_tv_box,stove_heating_other,digital_tv_box,occupant_type_OT.04,month_9th,fridge,washing_machine,stove_heating_other,tablet,electric_shower
month_2th,property_ownership_OWN.02,property_type_PT.04,month_8th,stove_heating_other,stove_heating_other,property_age_PA.03,tumble_dryer,property_type_PT.06,digital_tv_box
freezer,property_size,iron,month_2th,property_type_PT.06,microwave,microwave,microwave,toaster,property_age_PA.03
occupant_type_OT.03,tablet,month_7th,month_6th,occupant_type_OT.05,property_type_PT.03,kettle,month_2th,month_7th,month_8th
grill_heating_other,combi_fridge_freezer,combi_fridge_freezer,property_type_PT.03,fridge,property_size,property_type_PT.02,occupant_type_OT.03,month_9th,tablet
month_5th,tv,month_8th,property_age_PA.04,occupant_type_OT.03,property_ownership_OWN.02,grill_heating_other,month_4th,property_type_PT.03,kettle
property_type_PT.06,property_type_PT.06,property_type_PT.02,month_7th,tv,ev_charger,occupant_type_OT.03,toaster,fridge,stove_heating_other
