electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total
property_type_PT.04,toaster,property_type_PT.06,toaster,month_8th,ev_charger,ev_charger,ev_charger,month_9th,ev_charger
computer,electric_shower,digital_tv_box,property_size,dishwasher,month_6th,property_size,property_age_PA.03,electric_shower,property_age_PA.02
microwave,month_4th,property_ownership_OWN.02,property_type_PT.02,computer,oven_heating_other,fridge,dvd_or_blueray,property_size,property_type_PT.02
fridge,dvd_or_blueray,month_5th,oven_heating_other,ev_charger,month_3th,dishwasher,dishwasher,month_5th,property_age_PA.04
freezer,month_6th,grill_heating_other,property_age_PA.02,month_7th,month_7th,kettle,washing_machine,oven_heating_other,property_type_PT.06
property_age_PA.02,month_3th,occupant_type_OT.04,stove_heating_other,month_4th,occupant_type_OT.04,occupant_type_OT.04,digital_tv_box,fridge,oven_heating_other
month_7th,tumble_dryer,month_3th,property_type_PT.04,electric_shower,month_2th,tumble_dryer,electric_shower,month_8th,month_5th
property_type_PT.05,property_type_PT.04,month_2th,games_console,oven_heating_other,month_8th,electric_shower,occupants,dishwasher,occupant_type_OT.05
electric_shower,month_8th,dvd_or_blueray,electric_shower,occupant_type_OT.05,month_4th,month_9th,property_type_PT.02,washing_machine,property_type_PT.03
occupant_type_OT.04,occupants,property_age_PA.03,grill_heating_other,occupant_type_OT.04,property_size,digital_tv_box,tv,digital_tv_box,property_ownership_OWN.02
dvd_or_blueray,month_2th,oven_heating_other,kettle,toaster,month_5th,month_5th,combi_fridge_freezer,stove_heating_other,grill_heating_other
property_type_PT.06,combi_fridge_freezer,month_4th,month_5th,occupant_type_OT.03,property_age_PA.02,freezer,month_9th,property_type_PT.04,month_3th
month_5th,month_9th,month_9th,occupant_type_OT.04,property_type_PT.05,digital_tv_box,property_type_PT.06,toaster,month_2th,occupant_type_OT.04
occupant_type_OT.05,month_7th,dishwasher,digital_tv_box,month_2th,tablet,toaster,property_age_PA.02,kettle,month_9th
month_8th,occupant_type_OT.03,microwave,dishwasher,month_6th,property_type_PT.04,stove_heating_other,month_3th,property_ownership_OWN.02,digital_tv_box
combi_fridge_freezer,dishwasher,kettle,month_7th,property_age_PA.02,games_console,washing_machine,month_5th,tumble_dryer,games_console
property_type_PT.02,oven_heating_other,toaster,property_age_PA.03,combi_fridge_freezer,electric_shower,month_2th,property_ownership_OWN.02,occupant_type_OT.04,stove_heating_other
month_2th,freezer,games_console,fridge,property_age_PA.04,property_type_PT.02,tablet,property_size,games_console,tablet
toaster,stove_heating_other,property_size,washing_machine,property_size,fridge,month_3th,month_4th,toaster,occupant_type_OT.06
kettle,tablet,occupants,month_9th,fridge,property_ownership_OWN.02,property_age_PA.04,tumble_dryer,property_age_PA.04,property_type_PT.04
property_age_PA.03,games_console,iron,property_ownership_OWN.02,property_type_PT.02,grill_heating_other,property_type_PT.02,month_7th,property_age_PA.02,computer
month_6th,month_5th,property_type_PT.02,ev_charger,washing_machine,occupants,oven_heating_other,fridge,ev_charger,electric_shower
stove_heating_other,tv,month_6th,property_type_PT.06,month_3th,property_type_PT.06,property_age_PA.03,month_6th,property_type_PT.06,property_type_PT.05
iron,property_age_PA.04,electric_shower,month_6th,property_type_PT.04,month_9th,month_8th,microwave,property_type_PT.05,month_2th
occupant_type_OT.03,property_type_PT.03,tumble_dryer,month_2th,occupant_type_OT.06,occupant_type_OT.03,month_6th,property_age_PA.04,month_6th,month_7th
dishwasher,property_size,month_8th,occupant_type_OT.03,month_5th,washing_machine,occupants,freezer,property_type_PT.02,month_8th
property_size,property_age_PA.03,month_7th,computer,month_9th,tumble_dryer,games_console,month_8th,property_age_PA.03,property_age_PA.03
oven_heating_other,kettle,tablet,occupant_type_OT.06,tumble_dryer,kettle,property_type_PT.04,kettle,occupants,occupant_type_OT.03
property_age_PA.04,fridge,fridge,month_4th,grill_heating_other,freezer,month_7th,games_console,occupant_type_OT.03,month_6th
occupant_type_OT.06,property_age_PA.02,occupant_type_OT.03,combi_fridge_freezer,tv,microwave,property_type_PT.05,month_2th,microwave,month_4th
