electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total
occupant_type_OT.05,month_7th,month_9th,electric_shower,electric_shower,electric_shower,month_7th,occupant_type_OT.05,fridge,grill_heating_non_electric,electric_shower
combi_fridge_freezer,month_6th,month_3th,water_heating_non_electric,property_type_PT.02,dishwasher,month_6th,property_ownership_OWN.02,combi_fridge_freezer,stove_heating_non_electric,month_6th
computer,month_2th,property_type_PT.06,property_age_PA.02,tumble_dryer,tumble_dryer,games_console,occupants,ev_charger,games_console,fridge
property_age_PA.02,dvd_or_blueray,oven_heating_non_electric,photo_voltaic_SOL.02,month_5th,property_age_PA.02,month_3th,computer,dishwasher,month_5th,month_5th
month_7th,month_3th,property_type_PT.04,property_type_PT.02,games_console,month_7th,month_5th,fridge,occupants,property_age_PA.03,computer
occupants,fridge,month_5th,property_age_PA.04,freezer,month_5th,tumble_dryer,tumble_dryer,property_type_PT.02,freezer,occupants
property_ownership_OWN.02,month_4th,stove_heating_non_electric,grill_heating_non_electric,oven_heating_non_electric,month_3th,month_4th,month_6th,property_ownership_OWN.02,month_6th,month_2th
tumble_dryer,occupant_type_OT.05,grill_heating_non_electric,occupant_type_OT.05,stove_heating_non_electric,space_heating_non_electric,occupants,month_5th,washing_machine,electric_shower,tumble_dryer
month_6th,freezer,occupant_type_OT.03,property_type_PT.04,toaster,month_6th,occupant_type_OT.05,dishwasher,freezer,occupant_type_OT.04,combi_fridge_freezer
fridge,electric_shower,toaster,property_type_PT.06,tv,combi_fridge_freezer,month_2th,month_3th,property_age_PA.02,fridge,games_console
property_type_PT.02,month_8th,space_heating_non_electric,toaster,space_heating_non_electric,month_8th,electric_shower,property_age_PA.03,occupant_type_OT.06,occupant_type_OT.05,occupant_type_OT.04
occupant_type_OT.04,dishwasher,microwave,occupant_type_OT.03,digital_tv_box,property_age_PA.04,property_type_PT.02,property_type_PT.02,property_age_PA.03,property_ownership_OWN.02,digital_tv_box
tablet,oven_heating_non_electric,month_2th,property_ownership_OWN.02,property_type_PT.06,microwave,tv,microwave,month_5th,month_2th,month_3th
property_type_PT.05,property_type_PT.05,property_age_PA.03,washing_machine,occupants,occupant_type_OT.04,occupant_type_OT.04,combi_fridge_freezer,property_type_PT.04,property_type_PT.03,property_ownership_OWN.02
kettle,computer,property_ownership_OWN.02,occupant_type_OT.06,occupant_type_OT.04,month_2th,stove_heating_non_electric,oven_heating_non_electric,month_6th,tumble_dryer,property_age_PA.02
games_console,month_5th,month_4th,property_type_PT.03,tablet,ev_charger,month_8th,property_size,occupant_type_OT.03,combi_fridge_freezer,month_9th
grill_heating_non_electric,occupant_type_OT.04,property_type_PT.02,property_age_PA.03,month_3th,property_size,occupant_type_OT.03,digital_tv_box,stove_heating_non_electric,space_heating_non_electric,toaster
ev_charger,iron,tumble_dryer,stove_heating_non_electric,iron,month_4th,property_age_PA.02,occupant_type_OT.04,property_age_PA.04,month_3th,property_age_PA.04
month_9th,occupants,month_6th,kettle,property_ownership_OWN.02,occupants,space_heating_non_electric,month_9th,toaster,property_type_PT.04,freezer
month_2th,combi_fridge_freezer,month_7th,iron,occupant_type_OT.03,fridge,digital_tv_box,month_4th,property_size,property_size,occupant_type_OT.05
month_8th,tablet,month_8th,occupant_type_OT.04,property_type_PT.04,occupant_type_OT.05,freezer,tv,digital_tv_box,digital_tv_box,month_8th
month_3th,stove_heating_non_electric,property_age_PA.04,dishwasher,month_6th,washing_machine,property_type_PT.04,tablet,occupant_type_OT.04,property_type_PT.02,property_type_PT.04
digital_tv_box,property_type_PT.02,occupants,tumble_dryer,property_size,property_type_PT.06,computer,kettle,oven_heating_non_electric,month_7th,property_type_PT.05
property_size,space_heating_non_electric,ev_charger,games_console,combi_fridge_freezer,oven_heating_non_electric,microwave,month_8th,month_3th,ev_charger,tv
freezer,tumble_dryer,tablet,dvd_or_blueray,computer,stove_heating_non_electric,tablet,property_age_PA.04,dvd_or_blueray,computer,property_type_PT.02
property_type_PT.06,toaster,property_size,freezer,occupant_type_OT.06,toaster,ev_charger,property_age_PA.02,grill,dishwasher,occupant_type_OT.03
photo_voltaic_SOL.02,occupant_type_OT.03,games_console,microwave,microwave,digital_tv_box,dvd_or_blueray,washing_machine,tumble_dryer,occupant_type_OT.03,photo_voltaic_SOL.02
toaster,property_size,iron,property_size,fridge,games_console,combi_fridge_freezer,month_2th,month_7th,toaster,property_size
dvd_or_blueray,property_ownership_OWN.02,dvd_or_blueray,digital_tv_box,month_4th,occupant_type_OT.03,property_size,freezer,electric_shower,microwave,space_heating_non_electric
month_4th,occupant_type_OT.06,kettle,tv,photo_voltaic_SOL.02,photo_voltaic_SOL.02,toaster,property_type_PT.04,computer,property_type_PT.06,dvd_or_blueray
