electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total
combi_fridge_freezer,electric_shower,month_2th,electric_shower,property_size,month_3th,occupants,ev_charger,electric_shower,occupants
computer,month_8th,month_3th,freezer,month_8th,computer,computer,month_5th,month_6th,computer
occupants,freezer,property_size,month_6th,occupants,month_5th,month_5th,occupants,month_5th,combi_fridge_freezer
tv,computer,occupants,month_5th,dishwasher,tablet,tumble_dryer,combi_fridge_freezer,freezer,tumble_dryer
month_8th,month_7th,occupant_type_OT.04,property_size,tumble_dryer,occupants,combi_fridge_freezer,property_ownership_OWN.02,property_size,month_5th
occupant_type_OT.05,month_6th,month_4th,games_console,month_5th,occupant_type_OT.05,tv,month_6th,games_console,property_ownership_OWN.02
property_age_PA.03,occupants,month_5th,property_type_PT.02,electric_shower,month_2th,property_ownership_OWN.02,month_3th,occupant_type_OT.05,month_8th
games_console,month_2th,stove_heating_other,month_3th,month_6th,property_type_PT.02,month_6th,month_8th,month_7th,tv
month_7th,stove_heating_other,tablet,property_age_PA.02,month_7th,fridge,tablet,month_7th,month_8th,month_2th
tumble_dryer,tablet,iron,fridge,fridge,tv,occupant_type_OT.05,month_2th,computer,games_console
freezer,fridge,property_ownership_OWN.02,computer,month_2th,combi_fridge_freezer,month_2th,month_4th,occupants,month_6th
fridge,property_size,dishwasher,occupants,occupant_type_OT.04,month_4th,month_7th,property_type_PT.02,fridge,month_3th
property_ownership_OWN.02,month_5th,property_age_PA.02,combi_fridge_freezer,computer,property_size,freezer,washing_machine,month_2th,fridge
digital_tv_box,dvd_or_blueray,month_8th,tv,tv,month_7th,property_age_PA.03,fridge,tv,property_size
tablet,tv,property_age_PA.03,month_8th,property_age_PA.04,month_6th,fridge,dishwasher,tablet,month_7th
property_size,property_type_PT.02,dvd_or_blueray,stove_heating_other,tablet,freezer,month_8th,dvd_or_blueray,month_3th,tablet
property_type_PT.02,games_console,month_6th,tablet,month_4th,stove_heating_other,microwave,digital_tv_box,combi_fridge_freezer,freezer
month_2th,month_3th,property_type_PT.06,tumble_dryer,digital_tv_box,tumble_dryer,occupant_type_OT.03,electric_shower,property_ownership_OWN.02,property_type_PT.02
month_3th,month_4th,month_7th,month_2th,property_ownership_OWN.02,property_age_PA.02,digital_tv_box,month_9th,property_type_PT.02,digital_tv_box
dishwasher,digital_tv_box,tumble_dryer,occupant_type_OT.05,stove_heating_other,month_8th,dishwasher,computer,tumble_dryer,dvd_or_blueray
month_5th,oven_heating_other,property_type_PT.02,month_7th,month_3th,electric_shower,property_size,property_size,property_age_PA.02,dishwasher
month_6th,month_9th,electric_shower,month_4th,property_type_PT.02,games_console,month_3th,tv,month_4th,occupant_type_OT.05
month_4th,toaster,tv,property_ownership_OWN.02,games_console,occupant_type_OT.03,games_console,property_age_PA.02,dishwasher,stove_heating_other
occupant_type_OT.04,property_age_PA.02,oven_heating_other,microwave,microwave,occupant_type_OT.04,dvd_or_blueray,property_type_PT.03,digital_tv_box,property_age_PA.03
property_age_PA.04,property_age_PA.03,digital_tv_box,digital_tv_box,property_type_PT.04,property_ownership_OWN.02,property_type_PT.04,stove_heating_other,occupant_type_OT.04,occupant_type_OT.04
toaster,dishwasher,occupant_type_OT.03,occupant_type_OT.04,freezer,digital_tv_box,month_4th,freezer,stove_heating_other,property_type_PT.04
grill_heating_other,combi_fridge_freezer,kettle,oven_heating_other,property_age_PA.02,dvd_or_blueray,occupant_type_OT.04,microwave,microwave,month_4th
property_type_PT.05,tumble_dryer,computer,iron,iron,dishwasher,property_type_PT.02,kettle,property_age_PA.03,toaster
property_age_PA.02,property_type_PT.04,property_type_PT.04,toaster,toaster,property_age_PA.03,stove_heating_other,toaster,oven_heating_other,property_age_PA.04
dvd_or_blueray,grill_heating_other,microwave,dvd_or_blueray,property_age_PA.03,property_type_PT.04,toaster,tumble_dryer,dvd_or_blueray,month_9th
