electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total
combi_fridge_freezer,toaster,space_heating_other,electric_shower,occupants,occupants,occupants,digital_tv_box,ev_charger,month_12th,fridge,property_size
property_ownership_OWN.02,month_3th,water_heating_other,water_heating_other,month_3th,fridge,month_11th,month_12th,oven_heating_other,property_age_PA.03,month_1th,kettle
tablet,computer,month_2th,freezer,grill,tumble_dryer,month_1th,stove_heating_other,occupants,grill_heating_other,freezer,month_1th
property_size,kettle,occupant_type_OT.02,microwave,month_12th,property_type_PT.06,month_2th,occupants,photo_voltaic_SOL.02,toaster,stove_heating_other,fridge
freezer,month_2th,freezer,property_age_PA.02,stove_heating_other,month_1th,property_size,games_console,property_age_PA.02,washing_machine,month_3th,freezer
month_3th,month_1th,fridge,occupant_type_OT.04,month_4th,property_type_PT.02,stove_heating_other,property_type_PT.02,grill_heating_other,dvd_or_blueray,space_heating_other,water_heating_other
month_1th,month_4th,microwave,month_4th,month_2th,month_3th,fridge,month_1th,swimming_pool,grill,dvd_or_blueray,occupants
fridge,dvd_or_blueray,occupant_type_OT.03,month_7th,month_9th,freezer,month_4th,fridge,occupant_type_OT.02,stove_heating_other,month_9th,tumble_dryer
kettle,property_size,property_age_PA.04,month_2th,month_1th,month_4th,property_type_PT.02,property_size,freezer,occupant_type_OT.04,property_type_PT.04,computer
occupants,ev_charger,electric_shower,combi_fridge_freezer,month_11th,ev_charger,combi_fridge_freezer,occupant_type_OT.03,occupant_type_OT.03,property_age_PA.04,grill,month_2th
occupant_type_OT.04,electric_shower,month_12th,oven_heating_other,month_7th,month_2th,oven_heating_other,tablet,water_heating_other,month_1th,property_type_PT.02,property_type_PT.02
ev_charger,month_12th,washing_machine,month_5th,oven,toaster,tumble_dryer,grill,grill,property_size,combi_fridge_freezer,month_9th
grill,washing_machine,month_3th,occupant_type_OT.02,month_8th,combi_fridge_freezer,grill,toaster,property_type_PT.02,combi_fridge_freezer,month_2th,stove_heating_other
month_4th,freezer,month_1th,property_type_PT.04,oven_heating_other,month_9th,occupant_type_OT.03,freezer,digital_tv_box,property_type_PT.03,kettle,combi_fridge_freezer
occupant_type_OT.02,swimming_pool,dishwasher,month_1th,grill_heating_other,month_5th,freezer,oven_heating_other,fridge,occupant_type_OT.06,sauna,oven_heating_other
month_2th,property_age_PA.03,property_type_PT.02,month_12th,month_6th,property_size,month_3th,kettle,property_age_PA.03,kettle,swimming_pool,swimming_pool
oven_heating_other,tv,property_size,month_3th,property_ownership_OWN.02,sauna,washing_machine,occupant_type_OT.02,tv,property_age_PA.02,month_12th,ev_charger
swimming_pool,tumble_dryer,occupants,photo_voltaic_SOL.02,computer,month_6th,photo_voltaic_SOL.02,month_2th,games_console,water_heating_other,occupant_type_OT.03,grill
property_type_PT.06,hob,combi_fridge_freezer,space_heating_other,occupant_type_OT.04,property_age_PA.03,occupant_type_OT.04,property_ownership_OWN.02,occupant_type_OT.04,occupant_type_OT.05,occupant_type_OT.05,month_3th
computer,property_age_PA.02,month_11th,month_6th,iron,games_console,month_12th,hob,sauna,property_type_PT.05,property_type_PT.03,property_ownership_OWN.02
washing_machine,digital_tv_box,occupant_type_OT.06,computer,month_5th,stove_heating_other,property_type_PT.04,property_type_PT.06,property_age_PA.04,occupant_type_OT.02,occupant_type_OT.02,property_type_PT.03
tv,property_type_PT.03,property_type_PT.05,grill_heating_other,property_type_PT.06,grill,grill_heating_other,ev_charger,stove_heating_other,photo_voltaic_SOL.02,month_11th,occupant_type_OT.04
property_age_PA.02,property_type_PT.02,photo_voltaic_SOL.02,swimming_pool,digital_tv_box,grill_heating_other,kettle,photo_voltaic_SOL.02,month_1th,property_type_PT.06,month_4th,tablet
digital_tv_box,sauna,sauna,sauna,property_type_PT.02,computer,oven,computer,property_type_PT.06,property_type_PT.02,property_type_PT.05,month_4th
photo_voltaic_SOL.02,property_type_PT.06,computer,month_11th,tumble_dryer,month_11th,tablet,occupant_type_OT.04,month_4th,swimming_pool,digital_tv_box,iron
month_12th,fridge,grill,kettle,swimming_pool,kettle,property_age_PA.04,washing_machine,month_11th,hob,microwave,property_age_PA.03
sauna,grill_heating_other,iron,iron,microwave,oven,property_type_PT.06,month_3th,combi_fridge_freezer,digital_tv_box,property_age_PA.02,digital_tv_box
property_type_PT.05,combi_fridge_freezer,grill_heating_other,washing_machine,dishwasher,property_type_PT.03,electric_shower,sauna,month_9th,oven_heating_other,oven_heating_other,photo_voltaic_SOL.02
property_age_PA.03,occupant_type_OT.05,month_7th,games_console,electric_shower,space_heating_other,property_type_PT.05,tv,property_size,tumble_dryer,grill_heating_other,grill_heating_other
water_heating_other,oven_heating_other,toaster,property_type_PT.05,sauna,month_7th,computer,microwave,month_12th,freezer,occupant_type_OT.04,sauna
