electricity_space_heating,electricity_water_heating,electricity_electric_vehicle,electricity_pool_or_sauna
space_heating_other,electric_shower,ev_charger,month_12th
occupant_type_OT.02,water_heating_other,swimming_pool,dvd_or_blueray
water_heating_other,property_age_PA.02,photo_voltaic_SOL.02,property_type_PT.05
fridge,microwave,occupant_type_OT.02,property_age_PA.02
microwave,freezer,property_age_PA.02,occupant_type_OT.02
occupant_type_OT.03,ev_charger,grill_heating_other,property_age_PA.03
dishwasher,space_heating_other,freezer,property_age_PA.04
month_2th,occupant_type_OT.02,oven_heating_other,occupant_type_OT.06
freezer,month_12th,property_age_PA.03,occupant_type_OT.04
property_age_PA.04,games_console,occupants,grill
property_size,combi_fridge_freezer,tv,water_heating_other
month_12th,oven_heating_other,fridge,grill_heating_other
iron,month_4th,games_console,toaster
combi_fridge_freezer,property_type_PT.04,occupant_type_OT.04,stove_heating_other
occupant_type_OT.06,occupant_type_OT.04,digital_tv_box,kettle
occupants,month_5th,grill,property_size
property_type_PT.02,month_1th,water_heating_other,month_1th
electric_shower,month_3th,dvd_or_blueray,washing_machine
month_11th,photo_voltaic_SOL.02,month_5th,occupant_type_OT.05
month_3th,month_2th,month_6th,photo_voltaic_SOL.02
month_1th,property_type_PT.05,stove_heating_other,combi_fridge_freezer
washing_machine,occupant_type_OT.05,month_9th,space_heating_other
property_ownership_OWN.02,month_11th,month_12th,hob
tv,month_9th,month_3th,freezer
grill_heating_other,occupant_type_OT.03,month_1th,fridge
grill,grill_heating_other,iron,property_ownership_OWN.02
dvd_or_blueray,iron,month_4th,tumble_dryer
month_7th,tablet,combi_fridge_freezer,oven
tumble_dryer,washing_machine,occupant_type_OT.03,occupant_type_OT.03
computer,toaster,electric_shower,oven_heating_other
