electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total
water_heating_other,property_type_PT.06,month_11th,electric_shower,grill_heating_other,tumble_dryer,property_type_PT.06,stove_heating_other,ev_charger,microwave,property_type_PT.02,grill_heating_other
property_type_PT.06,dvd_or_blueray,water_heating_other,water_heating_other,month_2th,month_5th,freezer,electric_shower,tv,month_12th,stove_heating_other,water_heating_other
computer,freezer,electric_shower,microwave,occupant_type_OT.02,month_1th,month_1th,month_12th,property_type_PT.02,oven,combi_fridge_freezer,month_3th
property_size,occupant_type_OT.02,dishwasher,property_type_PT.06,month_4th,month_3th,tumble_dryer,month_1th,freezer,toaster,occupant_type_OT.02,property_type_PT.03
property_ownership_OWN.02,tumble_dryer,month_2th,iron,stove_heating_other,photo_voltaic_SOL.02,occupants,games_console,occupant_type_OT.02,water_heating_other,grill_heating_other,property_age_PA.02
grill,fridge,space_heating_other,property_ownership_OWN.02,month_12th,water_heating_other,month_4th,month_9th,grill_heating_other,occupant_type_OT.02,month_1th,occupant_type_OT.03
washing_machine,toaster,tumble_dryer,month_8th,month_1th,month_11th,tablet,month_2th,fridge,grill,tablet,occupant_type_OT.02
occupants,property_age_PA.03,month_12th,month_6th,month_7th,occupant_type_OT.02,month_5th,occupant_type_OT.03,property_size,dvd_or_blueray,occupant_type_OT.06,month_4th
property_type_PT.05,occupants,month_3th,month_7th,month_5th,occupants,month_2th,month_4th,games_console,stove_heating_other,tumble_dryer,property_type_PT.02
month_12th,electric_shower,month_1th,month_1th,property_ownership_OWN.02,month_4th,month_11th,water_heating_other,sauna,kettle,grill,occupant_type_OT.04
fridge,microwave,occupant_type_OT.02,tumble_dryer,month_3th,grill,month_12th,toaster,tumble_dryer,occupant_type_OT.06,property_size,month_12th
month_1th,month_1th,month_4th,month_4th,month_6th,property_size,occupant_type_OT.05,month_7th,grill,property_age_PA.02,water_heating_other,month_1th
month_11th,occupant_type_OT.06,occupant_type_OT.03,occupant_type_OT.02,month_8th,property_type_PT.05,month_7th,occupant_type_OT.02,occupant_type_OT.03,freezer,freezer,month_8th
tablet,grill_heating_other,property_type_PT.04,sauna,property_age_PA.03,dishwasher,occupant_type_OT.02,month_8th,property_age_PA.02,property_age_PA.03,occupant_type_OT.03,property_ownership_OWN.02
iron,occupant_type_OT.05,freezer,ev_charger,occupant_type_OT.04,ev_charger,stove_heating_other,occupant_type_OT.06,digital_tv_box,occupant_type_OT.04,occupant_type_OT.04,space_heating_other
freezer,space_heating_other,occupant_type_OT.04,dishwasher,fridge,occupant_type_OT.06,microwave,property_type_PT.06,property_age_PA.04,fridge,washing_machine,property_age_PA.04
occupant_type_OT.02,stove_heating_other,fridge,fridge,property_type_PT.06,stove_heating_other,occupant_type_OT.03,ev_charger,water_heating_other,iron,property_type_PT.04,property_type_PT.04
dvd_or_blueray,month_12th,microwave,month_3th,combi_fridge_freezer,property_type_PT.02,photo_voltaic_SOL.02,month_6th,occupants,occupants,month_2th,property_type_PT.05
property_type_PT.03,photo_voltaic_SOL.02,occupant_type_OT.06,kettle,month_9th,oven_heating_other,month_8th,digital_tv_box,photo_voltaic_SOL.02,property_ownership_OWN.02,month_12th,month_5th
games_console,property_age_PA.02,dvd_or_blueray,month_2th,iron,electric_shower,ev_charger,month_3th,oven_heating_other,combi_fridge_freezer,iron,occupant_type_OT.05
property_age_PA.02,property_age_PA.04,kettle,photo_voltaic_SOL.02,oven_heating_other,swimming_pool,month_3th,tv,month_8th,swimming_pool,swimming_pool,month_2th
occupant_type_OT.06,tablet,month_5th,property_type_PT.05,tablet,tv,month_6th,occupant_type_OT.05,dvd_or_blueray,property_type_PT.03,occupant_type_OT.05,month_9th
property_type_PT.04,property_size,oven_heating_other,month_5th,property_size,washing_machine,tv,iron,property_age_PA.03,occupant_type_OT.03,month_6th,property_age_PA.03
tumble_dryer,washing_machine,iron,month_11th,water_heating_other,property_age_PA.02,property_age_PA.04,month_11th,month_9th,oven_heating_other,month_7th,stove_heating_other
toaster,grill,property_size,property_size,month_11th,month_6th,month_9th,property_type_PT.02,month_12th,space_heating_other,photo_voltaic_SOL.02,month_7th
microwave,occupant_type_OT.03,occupant_type_OT.05,oven_heating_other,freezer,month_9th,property_size,sauna,month_3th,property_type_PT.02,oven_heating_other,occupant_type_OT.06
sauna,oven,property_age_PA.04,occupant_type_OT.05,occupant_type_OT.03,month_8th,washing_machine,month_5th,month_7th,property_size,month_4th,oven_heating_other
electric_shower,month_11th,property_age_PA.03,property_age_PA.03,kettle,property_type_PT.06,property_type_PT.03,dishwasher,property_type_PT.06,sauna,toaster,photo_voltaic_SOL.02
ev_charger,tv,property_age_PA.02,freezer,dvd_or_blueray,property_type_PT.03,toaster,tablet,combi_fridge_freezer,tumble_dryer,property_type_PT.03,month_6th
kettle,water_heating_other,photo_voltaic_SOL.02,occupants,digital_tv_box,hob,hob,fridge,electric_shower,tablet,month_5th,property_type_PT.06
